epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08728,1.83194,3.25204,1.64384,0.01107,0.50928,0.0084,0.00166,3.02683,3.51765,2.68961,1.667e-05,1.667e-05,1.667e-05
2,7.52235,1.86315,3.32678,1.65583,0.01307,0.55594,0.00963,0.00189,2.95433,3.51046,2.65986,4.95149e-05,4.95149e-05,4.95149e-05
3,9.98802,1.96831,3.33562,1.6785,0.01927,0.73826,0.01527,0.00373,2.39862,3.42517,2.19861,8.16997e-05,8.16997e-05,8.16997e-05
4,12.4646,1.2368,3.11392,1.31584,0.02712,0.99333,0.10341,0.05423,1.32031,3.05246,1.34412,0.000113224,0.000113224,0.000113224
5,14.9994,0.79113,2.92193,1.03139,0.02674,1,0.39446,0.2897,0.87411,2.67758,0.9749,0.000144089,0.000144089,0.000144089
6,17.345,0.66401,2.698,0.91386,0.02666,1,0.50253,0.42502,0.61526,2.60466,0.89557,0.000174293,0.000174293,0.000174293
7,19.7817,0.57135,2.44144,0.89215,0.02667,1,0.56408,0.49599,0.55774,2.58918,0.88814,0.000203837,0.000203837,0.000203837
8,22.2099,0.47825,2.25995,0.86998,0.02676,1,0.70184,0.62428,0.48278,2.56639,0.87161,0.000232722,0.000232722,0.000232722
9,24.7405,0.47684,2.17427,0.86828,0.02675,1,0.75764,0.68045,0.44986,2.55569,0.86762,0.000260946,0.000260946,0.000260946
10,27.088,0.51898,2.1134,0.85655,0.02678,1,0.82584,0.73928,0.49687,2.54301,0.87063,0.000288509,0.000288509,0.000288509
11,29.4624,0.4973,2.02738,0.86737,0.02691,1,0.90808,0.79579,0.54139,2.52441,0.87685,0.000315413,0.000315413,0.000315413
12,31.8809,0.49091,1.88376,0.86455,0.02714,1,0.95057,0.85401,0.4719,2.50014,0.87251,0.000341657,0.000341657,0.000341657
13,34.2995,0.47841,1.77671,0.83391,0.02724,1,0.97211,0.87322,0.45273,2.47593,0.86508,0.00036724,0.00036724,0.00036724
14,36.7201,0.4904,1.73811,0.84358,0.02726,1,0.98685,0.87849,0.45673,2.44765,0.86177,0.000392163,0.000392163,0.000392163
15,39.1669,0.488,1.57382,0.86073,0.02729,1,0.99023,0.88228,0.51446,2.42021,0.86836,0.000416427,0.000416427,0.000416427
16,41.7209,0.48577,1.51316,0.85551,0.02747,1,0.99179,0.85689,0.56019,2.39123,0.87568,0.00044003,0.00044003,0.00044003
17,44.1164,0.43591,1.33505,0.85599,0.02804,1,0.99311,0.88204,0.47896,2.35471,0.86824,0.000462973,0.000462973,0.000462973
18,46.6673,0.44896,1.25433,0.85802,0.02854,1,0.99425,0.88583,0.44475,2.31394,0.86416,0.000485255,0.000485255,0.000485255
19,48.9583,0.45536,1.11254,0.8354,0.02843,1,0.99445,0.85307,0.54238,2.26923,0.87493,0.000506878,0.000506878,0.000506878
20,51.3093,0.4374,1.02669,0.85757,0.02832,1,0.99493,0.84696,0.56396,2.20613,0.87235,0.000527841,0.000527841,0.000527841
21,53.7551,0.47973,1.03523,0.85661,0.62913,1,0.995,0.84266,0.57034,2.13694,0.87157,0.000548143,0.000548143,0.000548143
22,56.3709,0.41808,0.9086,0.86143,1,0.609,0.995,0.8307,0.58542,2.05304,0.87649,0.000567785,0.000567785,0.000567785
23,59.0905,0.42597,0.80306,0.83321,1,0.59353,0.995,0.85646,0.52968,1.95191,0.87186,0.000586767,0.000586767,0.000586767
24,61.6482,0.42834,0.79267,0.86496,0.99893,0.77092,0.995,0.87098,0.53287,1.85127,0.87458,0.000605089,0.000605089,0.000605089
25,64.4287,0.45933,0.7946,0.86235,0.9972,0.91653,0.995,0.8866,0.53812,1.72665,0.8722,0.000622751,0.000622751,0.000622751
26,66.9691,0.44826,0.70835,0.86963,0.99591,0.99641,0.995,0.90089,0.46245,1.56164,0.86212,0.000639753,0.000639753,0.000639753
27,69.4938,0.42591,0.68653,0.85295,0.99698,1,0.995,0.89797,0.45241,1.43475,0.86359,0.000656095,0.000656095,0.000656095
28,71.8362,0.44551,0.69055,0.85675,0.99698,1,0.995,0.89797,0.45241,1.43475,0.86359,0.000671776,0.000671776,0.000671776
29,74.375,0.40864,0.65591,0.83985,0.99721,0.99851,0.995,0.90129,0.45181,1.37869,0.87167,0.000686797,0.000686797,0.000686797
30,76.8161,0.40984,0.61861,0.85017,0.99775,1,0.995,0.89637,0.46565,1.33111,0.87954,0.000701159,0.000701159,0.000701159
31,79.2258,0.4017,0.62295,0.84204,0.99775,1,0.995,0.89637,0.46565,1.33111,0.87954,0.00071486,0.00071486,0.00071486
32,81.5862,0.37523,0.61505,0.84991,0.9948,1,0.995,0.85499,0.55498,1.2817,0.89158,0.000727901,0.000727901,0.000727901
33,84.0063,0.38197,0.57989,0.8424,0.99487,1,0.995,0.88057,0.50533,1.19355,0.88567,0.000740281,0.000740281,0.000740281
34,86.6013,0.38501,0.60967,0.82854,0.99487,1,0.995,0.88057,0.50533,1.19355,0.88567,0.000752002,0.000752002,0.000752002
35,89.318,0.38066,0.58005,0.86361,0.99451,1,0.995,0.88422,0.47196,1.08393,0.87923,0.000763063,0.000763063,0.000763063
36,94.2632,0.42418,0.59292,0.84417,0.99727,1,0.995,0.86571,0.56457,0.977,0.89128,0.000773463,0.000773463,0.000773463
37,102.573,0.36222,0.54051,0.8416,0.99727,1,0.995,0.86571,0.56457,0.977,0.89128,0.000783203,0.000783203,0.000783203
38,111.936,0.39623,0.54878,0.85875,0.9983,1,0.995,0.85843,0.55749,0.87516,0.8993,0.000792283,0.000792283,0.000792283
39,122.997,0.38438,0.53716,0.8216,0.99795,1,0.995,0.88316,0.49907,0.78693,0.89126,0.000800703,0.000800703,0.000800703
40,134.378,0.37929,0.50621,0.83089,0.99795,1,0.995,0.88316,0.49907,0.78693,0.89126,0.000808463,0.000808463,0.000808463
41,145.263,0.40892,0.53285,0.84345,0.99753,1,0.995,0.90893,0.41468,0.72085,0.88953,0.000815563,0.000815563,0.000815563
42,157.062,0.41349,0.50764,0.84738,0.99783,1,0.995,0.91867,0.42496,0.67385,0.89696,0.000822003,0.000822003,0.000822003
43,159.699,0.4009,0.52821,0.82645,0.99783,1,0.995,0.91867,0.42496,0.67385,0.89696,0.000827782,0.000827782,0.000827782
44,162.016,0.3941,0.4777,0.81467,0.99883,1,0.995,0.85241,0.60643,0.63278,0.93644,0.000832902,0.000832902,0.000832902
45,164.475,0.39495,0.53961,0.83624,0.99883,1,0.995,0.85241,0.60643,0.63278,0.93644,0.000837361,0.000837361,0.000837361
46,166.864,0.43594,0.55948,0.84831,0.99794,0.99995,0.995,0.85531,0.56731,0.63516,0.92502,0.00084116,0.00084116,0.00084116
47,169.096,0.38817,0.5001,0.83887,0.99794,0.99995,0.995,0.85531,0.56731,0.63516,0.92502,0.000844299,0.000844299,0.000844299
48,171.379,0.40168,0.48379,0.8377,0.99874,0.99984,0.995,0.91875,0.37987,0.62273,0.89377,0.000846778,0.000846778,0.000846778
49,173.741,0.37525,0.49241,0.83651,0.99874,0.99984,0.995,0.91875,0.37987,0.62273,0.89377,0.000848596,0.000848596,0.000848596
50,176.025,0.375,0.47399,0.83246,0.99742,1,0.995,0.92045,0.39283,0.62299,0.89084,0.000849755,0.000849755,0.000849755
51,178.228,0.4202,0.49903,0.82856,0.99742,1,0.995,0.92045,0.39283,0.62299,0.89084,0.000841835,0.000841835,0.000841835
52,180.577,0.41275,0.52645,0.85442,0.99645,1,0.995,0.90613,0.45186,0.61366,0.8996,0.000825332,0.000825332,0.000825332
53,182.759,0.39367,0.48248,0.83988,0.99645,1,0.995,0.90613,0.45186,0.61366,0.8996,0.000808828,0.000808828,0.000808828
54,185.167,0.37523,0.47862,0.83607,0.99631,1,0.995,0.90484,0.45391,0.60308,0.90018,0.000792325,0.000792325,0.000792325
55,187.46,0.37169,0.47209,0.82509,0.99631,1,0.995,0.90484,0.45391,0.60308,0.90018,0.000775822,0.000775822,0.000775822
56,189.858,0.3681,0.48709,0.83577,0.99806,1,0.995,0.92991,0.39018,0.56603,0.89424,0.000759318,0.000759318,0.000759318
57,192.068,0.36874,0.46294,0.81217,0.99806,1,0.995,0.92991,0.39018,0.56603,0.89424,0.000742815,0.000742815,0.000742815
58,194.486,0.37442,0.47619,0.81565,0.99899,1,0.995,0.92878,0.39355,0.52538,0.89877,0.000726312,0.000726312,0.000726312
59,196.777,0.36501,0.48591,0.82754,0.99899,1,0.995,0.92878,0.39355,0.52538,0.89877,0.000709809,0.000709809,0.000709809
60,199.057,0.3415,0.45139,0.8165,0.9984,1,0.995,0.91401,0.42605,0.49264,0.90737,0.000693305,0.000693305,0.000693305
61,201.44,0.33872,0.44457,0.82097,0.9984,1,0.995,0.91401,0.42605,0.49264,0.90737,0.000676802,0.000676802,0.000676802
62,203.788,0.31987,0.45201,0.82828,0.99821,1,0.995,0.91213,0.41646,0.47781,0.91178,0.000660299,0.000660299,0.000660299
63,206.067,0.33575,0.43425,0.84026,0.99821,1,0.995,0.91213,0.41646,0.47781,0.91178,0.000643795,0.000643795,0.000643795
64,208.333,0.33162,0.45018,0.80821,0.99809,1,0.995,0.91655,0.39865,0.46162,0.91033,0.000627292,0.000627292,0.000627292
65,210.476,0.32177,0.42749,0.83064,0.99809,1,0.995,0.91655,0.39865,0.46162,0.91033,0.000610789,0.000610789,0.000610789
66,212.848,0.34722,0.44625,0.81407,0.99865,1,0.995,0.91657,0.41736,0.47722,0.90984,0.000594286,0.000594286,0.000594286
67,218.475,0.34195,0.44689,0.84339,0.99865,1,0.995,0.91657,0.41736,0.47722,0.90984,0.000577782,0.000577782,0.000577782
68,233.015,0.3295,0.43704,0.8336,0.99791,1,0.995,0.91694,0.42759,0.49446,0.91495,0.000561279,0.000561279,0.000561279
69,243.95,0.34856,0.43842,0.84811,0.99791,1,0.995,0.91694,0.42759,0.49446,0.91495,0.000544776,0.000544776,0.000544776
70,255.395,0.33665,0.434,0.82259,0.99863,1,0.995,0.91702,0.41308,0.46931,0.91638,0.000528272,0.000528272,0.000528272
71,266.244,0.33318,0.43856,0.81643,0.99863,1,0.995,0.91702,0.41308,0.46931,0.91638,0.000511769,0.000511769,0.000511769
72,277.571,0.32783,0.42042,0.80565,0.99882,1,0.995,0.91463,0.41518,0.44175,0.91822,0.000495266,0.000495266,0.000495266
73,289.026,0.341,0.43258,0.80014,0.99882,1,0.995,0.91463,0.41518,0.44175,0.91822,0.000478762,0.000478762,0.000478762
74,297.495,0.31319,0.39007,0.80052,0.99855,1,0.995,0.92023,0.39039,0.42867,0.91674,0.000462259,0.000462259,0.000462259
75,305.619,0.33042,0.42235,0.84353,0.99855,1,0.995,0.92023,0.39039,0.42867,0.91674,0.000445756,0.000445756,0.000445756
76,313.067,0.32508,0.42375,0.82003,0.99857,1,0.995,0.93311,0.34696,0.41552,0.90905,0.000429253,0.000429253,0.000429253
77,323.611,0.32346,0.42196,0.80663,0.99857,1,0.995,0.93311,0.34696,0.41552,0.90905,0.000412749,0.000412749,0.000412749
78,334.165,0.32388,0.38308,0.81534,0.99855,1,0.995,0.92829,0.36044,0.41753,0.91077,0.000396246,0.000396246,0.000396246
79,343.255,0.31897,0.44764,0.835,0.99855,1,0.995,0.92829,0.36044,0.41753,0.91077,0.000379743,0.000379743,0.000379743
80,351.983,0.34736,0.46591,0.86256,0.99856,1,0.995,0.92189,0.38591,0.42496,0.91514,0.000363239,0.000363239,0.000363239
81,361.178,0.32411,0.40325,0.82658,0.99856,1,0.995,0.92189,0.38591,0.42496,0.91514,0.000346736,0.000346736,0.000346736
82,363.98,0.30529,0.41312,0.81849,0.99862,1,0.995,0.92918,0.3874,0.42207,0.9188,0.000330233,0.000330233,0.000330233
83,366.395,0.33355,0.47413,0.83245,0.99862,1,0.995,0.92918,0.3874,0.42207,0.9188,0.000313729,0.000313729,0.000313729
84,368.941,0.31004,0.41601,0.81978,0.99868,1,0.995,0.92607,0.38807,0.42716,0.92353,0.000297226,0.000297226,0.000297226
85,373.827,0.3249,0.43206,0.80964,0.99868,1,0.995,0.92607,0.38807,0.42716,0.92353,0.000280723,0.000280723,0.000280723
86,383.622,0.30747,0.39867,0.81327,0.99886,1,0.995,0.93131,0.37075,0.4331,0.92017,0.00026422,0.00026422,0.00026422
87,392.783,0.33886,0.43974,0.82228,0.99886,1,0.995,0.93131,0.37075,0.4331,0.92017,0.000247716,0.000247716,0.000247716
88,401.566,0.30383,0.42704,0.82253,0.99894,1,0.995,0.93312,0.35745,0.43131,0.91865,0.000231213,0.000231213,0.000231213
89,410.567,0.3365,0.38635,0.80415,0.99894,1,0.995,0.93312,0.35745,0.43131,0.91865,0.00021471,0.00021471,0.00021471
90,419.583,0.33097,0.43321,0.81341,0.99903,1,0.995,0.9306,0.36642,0.42089,0.91827,0.000198206,0.000198206,0.000198206
91,428.635,0.32528,0.59092,0.78962,0.99903,1,0.995,0.9306,0.36642,0.42089,0.91827,0.000181703,0.000181703,0.000181703
92,438.88,0.31708,0.5778,0.80316,0.99906,1,0.995,0.91723,0.38896,0.42876,0.92651,0.0001652,0.0001652,0.0001652
93,447.614,0.31101,0.52072,0.79764,0.99906,1,0.995,0.91723,0.38896,0.42876,0.92651,0.000148696,0.000148696,0.000148696
94,459.506,0.30742,0.49846,0.79676,0.99909,1,0.995,0.91408,0.40086,0.43977,0.93278,0.000132193,0.000132193,0.000132193
95,470.843,0.29454,0.46741,0.80137,0.99909,1,0.995,0.91408,0.40086,0.43977,0.93278,0.00011569,0.00011569,0.00011569
96,481.773,0.30798,0.49313,0.78531,0.99911,1,0.995,0.91437,0.40545,0.4482,0.93883,9.91865e-05,9.91865e-05,9.91865e-05
97,491.548,0.30797,0.47537,0.78405,0.99911,1,0.995,0.91437,0.40545,0.4482,0.93883,8.26832e-05,8.26832e-05,8.26832e-05
98,501.757,0.30022,0.46851,0.79698,0.99912,1,0.995,0.91492,0.40737,0.45566,0.94539,6.61799e-05,6.61799e-05,6.61799e-05
99,513.226,0.2938,0.43903,0.78806,0.99912,1,0.995,0.91492,0.40737,0.45566,0.94539,4.96766e-05,4.96766e-05,4.96766e-05
100,522.378,0.29562,0.46411,0.80376,0.99915,1,0.995,0.916,0.40756,0.45472,0.94981,3.31733e-05,3.31733e-05,3.31733e-05
